Name,Genre,Type,Description
Strength,Universal,Core,Physical power and carrying capacity.
Dexterity,Universal,Core,"Agility, reflexes, and balance"
Constitution,Universal,Core,"Health, stamina, and vital force."
Intelligence,Universal,Core,"Reasoning, memory, and logic."
Wisdom,Universal,Core,"Perception, intuition, and willpower"
Charisma,Universal,Core,"Personality, influence, and leadership."
Mana,Fantasy,Genre,Magical capacity or connection to the Weave.
Fate,Fantasy,Genre,Luck and destiny manipulation.
Psionics,Sci-Fi,Genre,Mental power and telepathic strength.
Sanity,Horror,Genre,Mental resilience against the eldritch.
Dread,Horror,Genre,Sensitivity to the supernatural (Double-edged sword).
Humanity,Horror,Genre,Clinging to one's soul amidst monsters.
Cool,Cyberpunk,Genre,Composure under pressure and style.
Street Cred,Cyberpunk,Genre,Reputation in the underworld.
Chrome,Cyberpunk,Genre,Tolerance for cybernetic implants.
Grit,Western,Genre,Toughness and determination to survive the frontier.
Draw,Western,Genre,Reflex speed specifically for firearms.
Luck,Western,Genre,Gambling aptitude and escaping death.
Rads,Post-Apocalyptic,Genre,Resistance to radiation and mutation.
Scavenge,Post-Apocalyptic,Genre,Intuition for finding resources in ruins.
Hope,Post-Apocalyptic,Genre,Morale and resistance to despair.
Suspicion,Mystery,Genre,Ability to detect clues and read motives.
Nerve,Mystery,Genre,Remaining calm in tense standoffs.
Contacts,Mystery,Genre,Network of informants and allies.
Power,Superhero,Genre,Raw magnitude of super-abilities.
Control,Superhero,Genre,Finesse and precision with powers.
Image,Superhero,Genre,Public perception (Hero/Villain rating).
Invention,Steampunk,Genre,Aptitude for crafting gadgets.
Steam,Steampunk,Genre,Resource management for powered gear.
Etiquette,Steampunk,Genre,Victorian social standing and manners.