Name,Genre,Attribute,Locked?,Description
Interface,Cyberpunk,INT,FALSE,Navigating VR networks and data fortresses.
Streetwise,Cyberpunk,WIS,FALSE,"Navigating urban underworlds finding fixers and avoiding gangs."
Hardware,Cyberpunk,INT,FALSE,"Modifying cybernetics drone repair and bypassing electronic locks."
Corporate,Cyberpunk,INT,FALSE,"Navigating bureaucracy legal loopholes and high-society etiquette."
Scrounge,Cyberpunk,WIS,FALSE,Finding useful tech in trash or black markets.
Hacking,Cyberpunk,INT,TRUE,"Requires 'Cyberdeck'. Active intrusion into secure systems."
Mysticism,Fantasy,INT,FALSE,"Knowledge of magic theory runes and planar entities."
Naturalism,Fantasy,INT,FALSE,"Knowledge of flora fauna and natural cycles."
Beastcraft,Fantasy,WIS,FALSE,"Taming riding and caring for mundane or magical beasts."
Lore,Fantasy,INT,FALSE,"Knowledge of ancient history religion and legends."
Artifice,Fantasy,INT,FALSE,"Crafting items identifying enchantments and working with magical materials."
Alchemy,Fantasy,INT,FALSE,"Brewing potions identifying poisons and transmuting substances."
Spellcasting,Fantasy,INT,TRUE,"Requires 'Arcane Initiate' or Trait. Channeling magical energy."
Occultism,Horror,INT,FALSE,"Knowledge of cults rituals and eldritch entities."
Resolve,Horror,WIS,FALSE,"Resisting madness fear and psychological trauma."
Folklore,Horror,INT,FALSE,"Knowledge of local myths curses and superstitions."
Thanatology,Horror,INT,FALSE,"Study of death decay and undead physiology."
Parapsychology,Horror,INT,FALSE,Using equipment to detect spirits or psychic phenomena.
Exorcism,Horror,CHA,TRUE,"Requires 'Priest' Origin or Feat. Banishing spirits and cleansing areas."
Investigation,Mystery,INT,FALSE,Searching scenes for clues and connecting evidence.
Forensics,Mystery,INT,FALSE,"Analyzing biological evidence fingerprints and ballistics."
Interrogation,Mystery,CHA,FALSE,Extracting information from unwilling subjects.
Cryptography,Mystery,INT,FALSE,"Breaking codes ciphers and puzzles."
Law,Mystery,INT,FALSE,"Knowledge of legal rights procedures and precedents."
Disguise,Mystery,CHA,FALSE,Altering appearance and voice to blend in.
Scavenging,Post-Apocalyptic,WIS,FALSE,"Finding resources food or salvage in ruins."
Jury-Rigging,Post-Apocalyptic,INT,FALSE,Making temporary repairs with scrap and duct tape.
Mutation Lore,Post-Apocalyptic,INT,FALSE,Identifying mutated creatures and radiation zones.
Barter,Post-Apocalyptic,CHA,FALSE,Trading goods and services in a moneyless economy.
Chemistry,Post-Apocalyptic,INT,FALSE,"Cooking chems explosives or synthesizing fuel."
Driving,Post-Apocalyptic,DEX,FALSE,Operating distinct land vehicles in rough terrain.
Computing,Sci-Fi,INT,FALSE,"Hacking systems programming and data retrieval."
Mechanics,Sci-Fi,INT,FALSE,"Repairing starships droids and advanced machinery."
Piloting,Sci-Fi,DEX,FALSE,"Operating starships hover-vehicles and mechs."
Xeno-Studies,Sci-Fi,INT,FALSE,"Knowledge of alien species biology and cultures."
Astrogation,Sci-Fi,INT,FALSE,Navigating hyperspace routes and star charts.
Zero-G Ops,Sci-Fi,DEX,FALSE,Moving and fighting effectively in low or zero gravity.
Psionics,Sci-Fi,INT,TRUE,"Requires 'Psionic Spark'. Using mental powers."
Steam-Tech,Steampunk,INT,FALSE,Operating and repairing steam-powered engines and gears.
Aeronautics,Steampunk,INT,FALSE,"Piloting dirigibles ornithopters and airships."
Etiquette,Steampunk,CHA,FALSE,"Navigating high society ballrooms and rigid social structures."
Invention,Steampunk,INT,FALSE,Designing and building new clockwork devices.
Archeology,Steampunk,INT,FALSE,Excavating ruins and identifying ancient artifacts.
Clockwork,Steampunk,DEX,FALSE,Fine manipulation of tiny gears and locks.
Power Control,Superhero,WIS,FALSE,Finesse and precision when using super-abilities.
Tactics,Superhero,INT,FALSE,Coordinating team maneuvers and analyzing villain weaknesses.
Public Relations,Superhero,CHA,FALSE,Managing public image and dealing with the press.
Collateral Control,Superhero,WIS,FALSE,Minimizing damage to the environment and civilians.
Gadgetry,Superhero,INT,FALSE,Using and maintaining hero-tech and utility belts.
Nemesis Lore,Superhero,INT,FALSE,"Knowledge of supervillains their powers and history."
Athletics,Universal,STR,FALSE,"Feats of strength lifting swimming and forcing open doors."
Acrobatics,Universal,DEX,FALSE,"Balancing tumbling dodging and escaping restraints."
Stealth,Universal,DEX,FALSE,"Hiding moving silently and blending into shadows."
Awareness,Universal,WIS,FALSE,"Spotting danger hearing faint noises and noticing details."
Intuition,Universal,WIS,FALSE,"Reading body language detecting lies and sensing motives."
Survival,Universal,WIS,FALSE,"Tracking finding food navigating wilderness and enduring elements."
Diplomacy,Universal,CHA,FALSE,"Convincing others diplomatic negotiation and inspiring confidence."
Subterfuge,Universal,CHA,FALSE,"Lying creating disguises and passing off forgeries."
Intimidation,Universal,CHA,FALSE,Using fear or physical presence to force compliance.
Medical,Universal,INT,FALSE,"Stabilizing the dying treating wounds and diagnosing ailments."
Light Weapons,Universal,DEX,FALSE,"Usage of daggers shortswords and precision melee weapons."
Heavy Weapons,Universal,STR,FALSE,"Usage of axes hammers and massive two-handed weapons."
Archery,Universal,DEX,FALSE,Usage of bows and their relatives.
Brawling,Universal,STR,FALSE,"Unarmed combat grappling and martial arts."
Riding,Western,DEX,FALSE,Controlling horses during chases or combat.
Gambling,Western,WIS,FALSE,"Games of chance cheating and spotting cheats."
Tracking,Western,WIS,FALSE,Following trails across difficult frontier terrain.
Gunsmithing,Western,INT,FALSE,"Repairing modifying and crafting ammunition for firearms."
Wrangling,Western,STR,FALSE,"Roping cattle breaking horses and handling livestock."
Negotiation,Western,CHA,FALSE,Haggling prices and settling disputes without drawing iron.
Firearms,Universal,DEX,FALSE,Useage of guns in their various forms.
Thrown Weapons,Universal,DEX,FALSE,"Useage of throwing knives shurikens javelins and other throwing weapons."